Key,Text
help.text,Trascina una Guardia su una casella vicina per muoverla o catturare. Ogni mossa concede una mossa al nemico. Porta le Guardie alla riga a scacchi in alto. Quelle arrivate aspettano le altre. Le catturate sono perdute per questa partita. Il bordo ciano segue il mouse. Le leggi cambiano a ogni livello.
piece.Pawn,PEDONE
piece.Rook,TORRE
piece.Bishop,ALFIERE
piece.Knight,CAVALLO
piece.Queen,REGINA
piece.King,RE
wait,ATTENDI
double,DOPPIO COMANDO
freeze,PAUSA REALE
ability.ready,PRONTO
load.error,ERRORE NEI DATI
quit.run,ABBANDONARE LA PARTITA?
quit.text,La partita in corso non viene salvata.
moves,MOSSE
captures,CATTURE
distance,RIGHE ALL’USCITA
enemies,NEMICI
record.session,MASSIMO DELLA SESSIONE
blocked,NESSUNA MOSSA
seed,SEME
caged,IL RE PRIGIONIERO
bonus,BONUS
malus,MALUS
mixed,MISTA
choose.ability,ABILITÀ ATTIVA
rules.changed,La legge ha cambiato il regno.
saved,GUARDIE AL SICURO
options.note,Le altre lingue saranno aggiunte in seguito.
law.001.name,NESSUNA RITIRATA
law.001.description,Le guardie non possono muoversi verso il basso.
law.002.name,GIURAMENTO ORTOGONALE
law.002.description,Le guardie possono muoversi solo in verticale o orizzontale.
law.003.name,GIURAMENTO DIAGONALE
law.003.description,Le guardie possono muoversi solo in diagonale.
law.004.name,CORONA IN AVANTI
law.004.description,Sono consentite solo le tre direzioni che contengono movimento in avanti.
law.005.name,RE LATERALE
law.005.description,Le guardie possono muoversi solo lateralmente o in diagonale laterale; niente avanti/dietro dritto.
law.006.name,PASSO LUNGO
law.006.description,Una volta per guardia nel livello è consentito un movimento ortogonale di 2 caselle libere.
law.007.name,DIAGONALE LUNGA
law.007.description,Una volta per guardia nel livello è consentito un movimento diagonale di 2 caselle libere.
law.008.name,PRIMO PASSO DOPPIO
law.008.description,Il primo movimento di ogni guardia può essere di 2 caselle nella stessa direzione se il percorso è libero.
law.009.name,PASSO ALTERNATO
law.009.description,Ogni guardia deve alternare movimento ortogonale e diagonale.
law.010.name,DIREZIONE NUOVA
law.010.description,Una guardia non può ripetere la stessa direzione del suo movimento precedente.
law.011.name,UN VENTO VIETATO
law.011.description,Una delle 8 direzioni viene estratta a caso e resta vietata per tutto il livello.
law.012.name,DUE VENTI VIETATI
law.012.description,Due direzioni opposte vengono vietate per tutto il livello.
law.013.name,BALZO REALE
law.013.description,Una volta nel livello una guardia può muoversi di 2 caselle in qualsiasi direzione se libera.
law.014.name,QUATTRO BALZI
law.014.description,Ogni guardia dispone di un Royal Dash personale.
law.015.name,STIVALI PESANTI
law.015.description,"Dopo un movimento diagonale, quella guardia non può essere scelta nel turno successivo."
law.016.name,PASSO LEGGERO
law.016.description,La prima mossa ortogonale di ogni guardia non provoca risposta nemica.
law.017.name,LONTANO DAL BORDO
law.017.description,Le guardie non possono terminare il movimento su una casella di bordo della strada.
law.018.name,CORRIDORI DEL BORDO
law.018.description,Le guardie sulle caselle di bordo possono fare un passo di 2 caselle verso l'interno una volta per livello.
law.019.name,SALTA LA FILA
law.019.description,Una volta per guardia è possibile saltare un pezzo adiacente e atterrare nella casella immediatamente oltre.
law.020.name,RACCOMANDAZIONE REALE
law.020.description,"Quando una guardia raggiunge il checkpoint reticolato, il giocatore può continuare a giocare per cinque turni consecutivi."
law.021.name,DISTANZA DAL NEMICO
law.021.description,Una mossa senza cattura non può terminare adiacente a un nemico.
law.022.name,DOPPIO SALTO FINALE
law.022.description,"Dalla penultima riga precedente al checkpoint, una guardia può andare al checkpoint con una mossa sola se ha strada libera."
law.023.name,COLONNA LASCIATA
law.023.description,"Dopo un cambio di colonna, una guardia non può tornare subito alla colonna precedente."
law.024.name,REGNO BREVE
law.024.description,"Dopo 3 mosse della stessa guardia, deve essere scelta un'altra guardia prima di riutilizzarla."
law.025.name,RE LIBERO
law.025.description,Una volta per livello puoi muovere una guardia di 2 caselle in qualunque direzione ignorando il primo ostacolo non nemico.
law.026.name,CAMBIO DI GUARDIA
law.026.description,Non puoi scegliere la stessa guardia in due turni consecutivi.
law.027.name,GIRO COMPLETO
law.027.description,Ogni guardia attiva deve muoversi una volta prima che una possa muovere di nuovo.
law.028.name,ORDINE INVERSO
law.028.description,Le guardie vengono selezionate in ordine fisso inverso.
law.029.name,CHIAMATA CASUALE
law.029.description,"A ogni turno il gioco indica casualmente quale guardia deve muovere, se ha una mossa legale."
law.030.name,DOPPIO COMANDO
law.030.description,Una volta nel livello puoi effettuare due mosse consecutive prima della risposta nemica.
law.031.name,COMANDO PERIODICO
law.031.description,Ogni 8 turni ottieni due mosse consecutive.
law.032.name,QUINTO SILENZIOSO
law.032.description,Ogni quinta mossa delle guardie salta la risposta nemica.
law.033.name,QUINTO RUMOROSO
law.033.description,Ogni quinta mossa delle guardie concede due mosse nemiche consecutive.
law.034.name,APERTURA CALMA
law.034.description,Per le prime tre risposte i nemici non possono muovere né catturare.
law.035.name,TERZO RINTOCCO
law.035.description,"Dopo la terza mossa del giocatore, l'avversario effettua due mosse consecutive."
law.036.name,PASSO DECISO
law.036.description,Le guardie non possono tornare sulla casella appena lasciata nella propria mossa precedente.
law.037.name,UNA ATTESA
law.037.description,"Una volta nel livello puoi passare il turno, concedendo una mossa al nemico."
law.038.name,PASSO LATERALE LIBERO
law.038.description,La prima mossa orizzontale della squadra non provoca risposta nemica.
law.039.name,PASSO LATERALE RUMOROSO
law.039.description,Ogni mossa orizzontale concede una risposta nemica aggiuntiva.
law.040.name,SLANCIO DI CATTURA
law.040.description,"Dopo una cattura la stessa guardia può muovere immediatamente una seconda volta, una sola volta per turno."
law.041.name,RIPOSO DOPO LA CATTURA
law.041.description,Dopo una cattura quella guardia deve saltare la sua prossima possibilità di selezione.
law.042.name,ULTIMO VELOCE
law.042.description,"Se rimane una sola guardia attiva, ottiene due mosse prima di ogni risposta nemica."
law.043.name,SQUADRA COMPLETA
law.043.description,"Finché tutte e 4 le guardie sono vive, i nemici si muovono solo ogni 2 mosse del giocatore."
law.044.name,SCOSSA DELLA PERDITA
law.044.description,La prima guardia catturata concede al nemico una mossa aggiuntiva.
law.045.name,SCATTO FINALE
law.045.description,"Quando la prima guardia supera il checkpoint, la successiva mossa non provoca risposta nemica."
law.046.name,OROLOGIO LENTO
law.046.description,I nemici agiscono soltanto dopo ogni 2 mosse delle guardie.
law.047.name,OROLOGIO VELOCE
law.047.description,"Ogni quattro mosse delle guardie, i nemici possono muovere per due mosse consecutive."
law.048.name,TURNI PARI
law.048.description,Una singola mossa nemica segue soltanto le mosse pari del giocatore.
law.049.name,TURNI DISPARI
law.049.description,Una singola mossa nemica segue soltanto le mosse dispari del giocatore.
law.050.name,PAUSA REALE
law.050.description,Una volta nel livello congela per un turno tutti i nemici visibili.
law.051.name,PRIMA GRAZIA
law.051.description,Il primo colpo che eliminerebbe una guardia viene ignorato.
law.052.name,DOPPIA GRAZIA
law.052.description,I primi due colpi subiti dalla squadra vengono ignorati.
law.053.name,GRAZIA PERSONALE
law.053.description,Ogni guardia può ignorare il primo colpo subito nel livello.
law.054.name,ULTIMA CORONA
law.054.description,L'ultima guardia rimasta ignora il primo colpo che subisce.
law.055.name,RESTARE UNITI
law.055.description,Una guardia non può terminare oltre 3 caselle dalla guardia più vicina.
law.056.name,FORMAZIONE STRETTA
law.056.description,Distanza massima dalla guardia più vicina: 2 caselle.
law.057.name,DISPERSI
law.057.description,Due guardie non possono terminare su caselle adiacenti.
law.058.name,COLONNE DIVERSE
law.058.description,Due guardie non possono occupare la stessa colonna.
law.059.name,RIGHE DIVERSE
law.059.description,Due guardie non possono occupare la stessa riga.
law.060.name,AVANGUARDIA
law.060.description,Ogni 3 turni deve muovere una delle guardie più avanzate.
law.061.name,RETROGUARDIA
law.061.description,Ogni 3 turni deve muovere una delle guardie più arretrate.
law.062.name,PASSO UGUALE
law.062.description,La distanza verticale tra prima e ultima guardia non può superare 4 righe.
law.063.name,SERRARE I RANGHI
law.063.description,La distanza verticale tra prima e ultima guardia non può superare 3 righe.
law.064.name,FIANCHI ESPOSTI
law.064.description,Le guardie sulle caselle laterali della strada non possono catturare.
law.065.name,GUARDIA CENTRALE
law.065.description,Una guardia casuale è marcata: deve restare entro 1 casella dalla linea centrale della strada.
law.066.name,GUARDIA SILENZIOSA
law.066.description,Una guardia casuale non può catturare durante il livello.
law.067.name,GUARDIA CACCIATRICE
law.067.description,Una guardia casuale deve effettuare almeno una cattura prima di poter oltrepassare il checkpoint.
law.068.name,LEGAME DI COPPIA
law.068.description,Due guardie casuali devono restare entro 2 caselle l'una dall'altra.
law.069.name,COPPIA SEPARATA
law.069.description,Due guardie casuali non possono terminare adiacenti.
law.070.name,PASSO DEL SUPERSTITE
law.070.description,"Dopo la perdita di una guardia, la mossa successiva può essere di 2 caselle."
law.071.name,CALMA DEL SUPERSTITE
law.071.description,"Dopo la perdita di una guardia, salta la prossima risposta nemica."
law.072.name,SCUDO A PREZZO
law.072.description,"Ogni guardia ha uno scudo, ma lo perde dopo la propria prima cattura."
law.073.name,QUATTRO IN DIFESA
law.073.description,"Finché tutte e quattro le guardie sono vive, i nemici non possono catturare con mosse diagonali."
law.074.name,ULTIMO PASSO
law.074.description,"Se rimane una sola guardia attiva, può muovere di due caselle ortogonali lungo un percorso libero."
law.075.name,SCORTA REALE
law.075.description,Una guardia marcata non può essere catturata mentre è adiacente a un'altra guardia attiva.
law.076.name,CAVALLI IMMOBILI
law.076.description,I Cavalli nemici restano immobili e non possono catturare.
law.077.name,ALFIERI IMMOBILI
law.077.description,Gli Alfieri nemici restano immobili e non possono catturare.
law.078.name,TORRI IMMOBILI
law.078.description,Le Torri nemiche restano immobili e non possono catturare.
law.079.name,PRIORITÀ AI CAVALLI
law.079.description,"Se un Cavallo ha una mossa legale, l'avversario deve scegliere un Cavallo."
law.080.name,CAVALLI ASSONNATI
law.080.description,I Cavalli si muovono solo ogni 2 risposte nemiche.
law.081.name,ALFIERI ASSONNATI
law.081.description,Gli Alfieri si muovono solo ogni 2 risposte nemiche.
law.082.name,TORRI ASSONNATE
law.082.description,Le Torri si muovono solo ogni 2 risposte nemiche.
law.083.name,CAVALLI CACCIATORI
law.083.description,I Cavalli preferiscono la mossa legale che li avvicina alla guardia più vicina.
law.084.name,CAVALLI IN FUGA
law.084.description,I Cavalli preferiscono allontanarsi dalla guardia più vicina.
law.085.name,ALFIERI CACCIATORI
law.085.description,Gli Alfieri preferiscono muoversi verso la guardia più vicina.
law.086.name,TORRI CACCIATRICI
law.086.description,Le Torri preferiscono muoversi verso la guardia più vicina.
law.087.name,CAVALLI IMPREVEDIBILI
law.087.description,I Cavalli scelgono casualmente una mossa legale.
law.088.name,ALFIERI IMPREVEDIBILI
law.088.description,Gli Alfieri scelgono casualmente una mossa legale entro la loro portata.
law.089.name,TORRI IMPREVEDIBILI
law.089.description,Le Torri scelgono casualmente una mossa legale entro la loro portata.
law.090.name,NEMICI IN AVANTI
law.090.description,I pezzi nemici mobili possono scegliere solo mosse che li avvicinano al bordo inferiore dello schermo.
law.091.name,NEMICI IN RITIRATA
law.091.description,I pezzi nemici mobili possono scegliere solo mosse che li allontanano dal bordo inferiore.
law.092.name,DERIVA A SINISTRA
law.092.description,"Quando esistono più mosse equivalenti, i nemici preferiscono quella più a sinistra."
law.093.name,DERIVA A DESTRA
law.093.description,"Quando esistono più mosse equivalenti, i nemici preferiscono quella più a destra."
law.094.name,CAVALLO IN RITARDO
law.094.description,I Cavalli non possono muovere o catturare nella prima risposta nemica.
law.095.name,TORRE IN RITARDO
law.095.description,Le Torri non possono muovere o catturare nelle prime due risposte nemiche.
law.096.name,PRIORITÀ AGLI ALFIERI
law.096.description,"Se un Alfiere ha una mossa legale, l'avversario deve scegliere un Alfiere."
law.097.name,SETTORE ASSEGNATO
law.097.description,I nemici devono restare nella metà sinistra o destra della griglia in cui iniziano il livello.
law.098.name,COLONNE VINCOLATE
law.098.description,"Le Torri nemiche si muovono e catturano soltanto in diagonale, come gli Alfieri."
law.099.name,UN SOLO TIPO MOBILE
law.099.description,Un solo tipo nemico estratto fra quelli presenti può muovere o catturare; tutti gli altri restano immobili.
law.100.name,CAMBIO DELLA GUARDIA
law.100.description,L'avversario non può scegliere lo stesso pezzo in due risposte consecutive se un altro può muovere.
law.101.name,TORRI CORTE
law.101.description,Portata massima delle Torri ridotta a 2 caselle.
law.102.name,TORRI MEDIE
law.102.description,Portata massima delle Torri fissata a 3 caselle.
law.103.name,TORRI LUNGHE
law.103.description,Portata massima delle Torri aumentata di 1 rispetto al valore standard.
law.104.name,ALFIERI CORTI
law.104.description,Portata massima degli Alfieri ridotta a 2 caselle.
law.105.name,ALFIERI MEDI
law.105.description,Portata massima degli Alfieri fissata a 3 caselle.
law.106.name,ALFIERI LUNGHI
law.106.description,Portata massima degli Alfieri aumentata di 1.
law.107.name,CAVALLI ORIZZONTALI
law.107.description,I Cavalli nemici possono saltare soltanto di due colonne e una riga.
law.108.name,TORRI PAZIENTI
law.108.description,Le Torri possono attaccare solo a turni alterni.
law.109.name,ALFIERI PAZIENTI
law.109.description,Gli Alfieri possono attaccare solo a turni alterni.
law.110.name,CAVALLI PAZIENTI
law.110.description,I Cavalli possono attaccare solo a turni alterni.
law.111.name,TORRI AFFAMATE
law.111.description,"Se una Torre può catturare, l'avversario deve scegliere una cattura di Torre."
law.112.name,ALFIERI AFFAMATI
law.112.description,"Se un Alfiere può catturare, l'avversario deve scegliere una cattura di Alfiere."
law.113.name,CAVALLI AFFAMATI
law.113.description,"Se un Cavallo può catturare, l'avversario deve scegliere una cattura di Cavallo."
law.114.name,CATTURA LONTANA
law.114.description,I nemici a lunga gittata non possono catturare a distanza di una casella.
law.115.name,CATTURA VICINA
law.115.description,I nemici a lunga gittata possono catturare soltanto a distanza di una casella.
law.116.name,BERSAGLIO VICINO
law.116.description,"Ogni nemico attacca, se possibile, la guardia più vicina."
law.117.name,BERSAGLIO LONTANO
law.117.description,Ogni nemico preferisce la guardia più lontana tra quelle attaccabili.
law.118.name,BERSAGLIO AVANZATO
law.118.description,I nemici preferiscono la guardia più avanzata.
law.119.name,BERSAGLIO ARRETRATO
law.119.description,I nemici preferiscono la guardia più arretrata.
law.120.name,BERSAGLIO SUL BORDO
law.120.description,I nemici preferiscono guardie sulle caselle di bordo.
law.121.name,BERSAGLIO CENTRALE
law.121.description,I nemici preferiscono guardie vicine alla linea centrale.
law.122.name,UNA CATTURA CIASCUNO
law.122.description,Ogni pezzo nemico può effettuare al massimo un attacco riuscito nel livello.
law.123.name,PAUSA FRA CATTURE
law.123.description,"Dopo un attacco, quel nemico non può attaccare nella risposta successiva."
law.124.name,LUNGA VISTA
law.124.description,Tutti i pezzi a gittata riducono la portata di 5.
law.125.name,VISTA CORTA
law.125.description,"Tutti i pezzi a gittata riducono la portata di 1, minimo 1."
law.126.name,TERRA DEI CAVALLI
law.126.description,Aumenta fortemente il peso di generazione dei Cavalli.
law.127.name,TERRA DEGLI ALFIERI
law.127.description,Aumenta fortemente il peso di generazione degli Alfieri.
law.128.name,TERRA DELLE TORRI
law.128.description,Aumenta fortemente il peso di generazione delle Torri.
law.129.name,NESSUN CAVALLO
law.129.description,Nel livello non vengono generati Cavalli.
law.130.name,NESSUN ALFIERE
law.130.description,Nel livello non vengono generati Alfieri.
law.131.name,NESSUNA TORRE
law.131.description,Nel livello non vengono generate Torri.
law.132.name,RODEO
law.132.description,Tutti i nemici generati sono Cavalli.
law.133.name,SOLO ALFIERI
law.133.description,Tutti i nemici generati sono Alfieri.
law.134.name,SOLO TORRI
law.134.description,Tutti i nemici generati sono Torri.
law.135.name,MENO NEMICI
law.135.description,Riduce del 25% il numero di nemici del livello.
law.136.name,PIÙ NEMICI
law.136.description,Aumenta del 25% il numero di nemici del livello.
law.137.name,REGNO AFFOLLATO
law.137.description,Aumenta del 50% il numero di nemici.
law.138.name,PARTENZA VUOTA
law.138.description,Nessun nemico può essere generato nelle prime 4 righe percorribili.
law.139.name,PARTENZA PERICOLOSA
law.139.description,I nemici possono comparire già dalla seconda riga visibile.
law.140.name,USCITA SICURA
law.140.description,Nessun nemico può essere generato nelle ultime 2 righe prima del checkpoint.
law.141.name,USCITA SORVEGLIATA
law.141.description,Almeno un nemico viene generato nelle 3 righe precedenti il checkpoint.
law.142.name,NEMICI AI BORDI
law.142.description,I nemici vengono generati preferibilmente sulle caselle di bordo della strada.
law.143.name,NEMICI AL CENTRO
law.143.description,I nemici vengono generati preferibilmente vicino al centro della strada.
law.144.name,COPPIE NEMICHE
law.144.description,I nemici vengono generati a coppie dello stesso tipo quando possibile.
law.145.name,COPPIE MISTE
law.145.description,I nemici vengono generati a coppie di tipo diverso quando possibile.
law.146.name,PEZZI SOLITARI
law.146.description,Nessun nemico può essere generato adiacente a un altro nemico.
law.147.name,GRUPPI NEMICI
law.147.description,I nemici preferiscono comparire entro 2 caselle da un altro nemico.
law.148.name,UNO PER TIPO
law.148.description,"Ogni segmento principale della strada tenta di includere Cavallo, Alfiere e Torre."
law.149.name,ESERCITO CRESCENTE
law.149.description,"Quando una guardia raggiunge per la prima volta metà altezza del percorso, compare un Pedone nemico su una casella libera valida."
law.150.name,PEDONI IN CODA
law.150.description,I nemici collocati nella metà superiore della strada sono tutti Pedoni.
law.151.name,STRADA LARGA
law.151.description,La strada è larga 2 colonne in più del normale.
law.152.name,STRADA STRETTA
law.152.description,"La strada è larga 2 colonne in meno del normale, con minimo sicuro."
law.153.name,STRADA AMPIA
law.153.description,La strada è larga 4 colonne in più.
law.154.name,PASSAGGIO ANGUSTO
law.154.description,La strada è larga 3 colonne in meno.
law.155.name,STRADA DRITTA
law.155.description,Riduce quasi a zero la probabilità di curve.
law.156.name,STRADA TORTUOSA
law.156.description,Aumenta del 50% la probabilità di cambio direzione.
law.157.name,SERPENTINA
law.157.description,La strada tende ad alternare curve a sinistra e destra.
law.158.name,CURVE LUNGHE
law.158.description,Le curve durano più righe prima di cambiare direzione.
law.159.name,CURVE BREVI
law.159.description,Le curve cambiano più spesso ma di una sola colonna.
law.160.name,STRADA A SINISTRA
law.160.description,La generazione tende verso la metà sinistra dell'area di gioco.
law.161.name,STRADA A DESTRA
law.161.description,La generazione tende verso la metà destra.
law.162.name,STRADA AL CENTRO
law.162.description,La strada tende a ritornare verso il centro.
law.163.name,DUE STRETTOIE
law.163.description,Genera 2 restringimenti di una riga ciascuno.
law.164.name,UNA STRETTOIA
law.164.description,Genera un solo restringimento ben visibile.
law.165.name,PIAZZE APERTE
law.165.description,Genera 2 allargamenti temporanei della strada.
law.166.name,PIAZZA LUNGA
law.166.description,Una sezione centrale diventa molto larga per 4 righe.
law.167.name,SCALINATA
law.167.description,La strada si sposta lateralmente di una colonna a intervalli regolari.
law.168.name,CURVA A S
law.168.description,Forza una grande curva a S nel livello.
law.169.name,CURVA A C
law.169.description,Forza una grande curva in una sola direzione e ritorno finale.
law.170.name,CENTRO SPEZZATO
law.170.description,La linea centrale della strada cambia improvvisamente una volta.
law.171.name,DUE ROTTURE
law.171.description,La linea centrale cambia improvvisamente due volte.
law.172.name,PRIMA METÀ CALMA
law.172.description,"Prima metà quasi rettilinea, seconda metà generata normalmente."
law.173.name,SECONDA METÀ CALMA
law.173.description,Seconda metà quasi rettilinea.
law.174.name,SECONDA METÀ CAOTICA
law.174.description,Dopo metà livello aumenta molto la frequenza delle curve.
law.175.name,VIALE REALE
law.175.description,"Strada larga e relativamente dritta, ma con +25% nemici."
law.176.name,USCITA IN DIAGONALE
law.176.description,Le guardie possono entrare nel checkpoint soltanto con una mossa diagonale.
law.177.name,USCITA STRETTA
law.177.description,Solo le 3 caselle centrali del reticolo sono valide per il passaggio.
law.178.name,VARCO UNICO
law.178.description,"Una sola casella del reticolo, indicata in ciano, consente il passaggio."
law.179.name,VARCO MOBILE
law.179.description,La casella valida del checkpoint si sposta di una colonna ogni 2 turni.
law.180.name,RIGA SICURA
law.180.description,La riga immediatamente prima del checkpoint non può essere attaccata.
law.181.name,RIGA PERICOLOSA
law.181.description,La riga immediatamente prima del checkpoint aumenta di 1 la portata dei nemici che la minacciano.
law.182.name,ARRIVO PRECISO
law.182.description,"Per essere considerata passata, una guardia deve terminare una mossa sul reticolo, non semplicemente oltrepassarlo."
law.183.name,USCITA ORTOGONALE
law.183.description,Le guardie possono entrare nel checkpoint soltanto con una mossa ortogonale.
law.184.name,CHIUSO FINO AL QUINTO
law.184.description,Il checkpoint diventa valido solo dopo il turno 5.
law.185.name,CHIUSO FINO ALL'OTTAVO
law.185.description,Il checkpoint diventa valido solo dopo il turno 8.
law.186.name,VARCO BIANCO
law.186.description,Sono valide per l'uscita soltanto le caselle bianche dell'ultima riga.
law.187.name,CASELLE SICURE
law.187.description,15 caselle ciano casuali proteggono dalle catture le guardie che le occupano.
law.188.name,DUE CASELLE SICURE
law.188.description,Due caselle ciano casuali sono immuni agli attacchi.
law.189.name,BLOCCHI MAGENTA
law.189.description,Genera 10 caselle viola invalicabili sulla strada.
law.190.name,CAMPO MAGENTA
law.190.description,Genera 4 caselle viola invalicabili.
law.191.name,BLOCCO EVANESCENTE
law.191.description,Quindici blocchi sono presenti all’inizio; uno viene rimosso ogni quattro mosse del giocatore.
law.192.name,BLOCCO CRESCENTE
law.192.description,Ogni 5 turni una casella libera davanti alle guardie diventa bloccata.
law.193.name,CASELLA A SENSO UNICO
law.193.description,Una casella marcata può essere attraversata solo in direzione avanti.
law.194.name,PASSAGGI ORTOGONALI
law.194.description,Due caselle marcate possono essere attraversate solo ortogonalmente.
law.195.name,PASSAGGI DIAGONALI
law.195.description,Due caselle marcate possono essere raggiunte solo con movimento diagonale.
law.196.name,CASELLA DI RIPOSO
law.196.description,La prima guardia che termina su una casella ciano non provoca risposta nemica.
law.197.name,CASELLA DI ALLARME
law.197.description,La prima guardia che termina su una casella viola provoca una risposta nemica extra.
law.198.name,IMPRONTE DI CAVALLI
law.198.description,"Tutte le caselle che sono state occupate da un cavallo, diventeranno inaccessibili quando quest'ultimo si muoverà da esse."
law.199.name,CASELLA DEL BALZO
law.199.description,La prima guardia che raggiunge una casella ciano marcata ottiene un balzo di due caselle su percorso libero.
law.200.name,VARCO ALTERNATO
law.200.description,Le caselle valide del checkpoint alternano attivo/inattivo a ogni turno.
law.201.name,VISTA DEL CAVALLO
law.201.description,Al passaggio del mouse su un Cavallo nemico vengono mostrate le sue destinazioni legali.
law.202.name,VISTA DELLA TORRE
law.202.description,Al passaggio del mouse su una Torre nemica vengono mostrate le sue destinazioni legali.
law.203.name,VISTA DELL'ALFIERE
law.203.description,Al passaggio del mouse su un Alfiere nemico vengono mostrate le sue destinazioni legali.
law.204.name,PEDONI PRUDENTI
law.204.description,I Pedoni nemici non possono catturare nella prima risposta nemica.
law.205.name,PORTATE SCRITTE
law.205.description,Ogni nemico a lunga gittata mostra accanto al pezzo la propria portata massima.
law.206.name,SCELTA ANNUNCIATA
law.206.description,"All'inizio del turno bianco viene indicato il nemico più vicino a una guardia, che agirà se avrà una mossa legale."
law.207.name,DOVE SONO I MIEI OCCHIALI?
law.207.description,"I nemici lontani appaiono come simboli ""?"" finché non sono entro 4 righe."
law.208.name,IDENTITÀ TARDIVA
law.208.description,Il tipo del nemico viene rivelato solo entro 2 righe.
law.209.name,PORTATA VISIBILE
law.209.description,"Quando selezioni un nemico, mostra la sua portata massima con un bordo sottile."
law.210.name,PASSO SOTTO GLI OCCHI
law.210.description,La casella di partenza di ogni nemico resta marcata per tutto il livello.
law.211.name,INDIZIO DI MOSSA
law.211.description,Una volta ogni 5 turni evidenzia per un istante una mossa legale casuale.
law.212.name,RALLENTARE
law.212.description,Le Torri e gli Alfieri possono muoversi solo fino a una distanza massima di 5 caselle.
law.213.name,CONTA CATTURE
law.213.description,Accanto a ogni guardia viene mostrato il numero delle sue catture nel livello.
law.214.name,CONTA MOSSE
law.214.description,Accanto a ogni guardia viene mostrato il numero delle sue mosse nel livello.
law.215.name,ULTIMO CACCIATORE
law.215.description,Il nemico che ha effettuato l'ultima cattura resta contrassegnato fino alla cattura successiva.
law.216.name,ADAGIO ADAGIO
law.216.description,Le Torri e gli Alfieri possono muoversi solo fino a una distanza massima di 2 caselle.
law.217.name,VARCO NERO
law.217.description,Sono valide per l'uscita soltanto le caselle nere dell'ultima riga.
law.218.name,CONTA NEMICI
law.218.description,Mostra nell'HUD il numero dei nemici attualmente presenti sulla scacchiera.
law.219.name,TIPI IN CAMPO
law.219.description,Mostra nell'HUD quanti nemici restano per ciascun tipo di pezzo.
law.220.name,REGISTRO CATTURE
law.220.description,Mostra nell'HUD i pezzi nemici catturati durante il livello.
law.221.name,GUARDIA PIÙ ESPOSTA
law.221.description,Indica la guardia attiva minacciata dal maggior numero di nemici.
law.222.name,TRACCIA DELLA GUARDIA
law.222.description,Mostra per un turno la casella precedente della guardia appena mossa.
law.223.name,TRACCIA NEMICA
law.223.description,Mostra per un turno la casella da cui si è mosso ogni nemico.
law.224.name,FRENATA
law.224.description,Le Torri e gli Alfieri possono muoversi solo fino a una distanza massima di 1 casella.
law.225.name,MEMORIA REALE
law.225.description,Le caselle già visitate dalle guardie restano marcate con un piccolo punto ciano.
law.226.name,CATTURA LIBERA
law.226.description,La prima cattura del livello non provoca risposta nemica.
law.227.name,DUE CATTURE LIBERE
law.227.description,Le prime due catture non provocano risposta nemica.
law.228.name,CATTURA RUMOROSA
law.228.description,Ogni cattura provoca una risposta nemica extra.
law.229.name,NESSUNA CATTURA
law.229.description,Le guardie non possono catturare; devono evitare tutti i nemici.
law.230.name,PREDE CAVALLI
law.230.description,Le guardie possono catturare soltanto Cavalli.
law.231.name,PREDE ALFIERI
law.231.description,Le guardie possono catturare soltanto Alfieri.
