ID,LAW,Name,Category,Effect,Min Level,Max Level,Range,Impact,Implementation
35,LAW #035,TERZO RINTOCCO,Turn flow,"Dopo la terza mossa del giocatore, l'avversario effettua due mosse consecutive.",6,14,6-14,Malus,enemy.extraResponseOnTurn=3
36,LAW #036,PASSO DECISO,Turn flow,Le guardie non possono tornare sulla casella appena lasciata nella propria mossa precedente.,2,8,2-8,Malus,guard.blockImmediateReturn=true
37,LAW #037,UNA ATTESA,Turn flow,"Una volta nel livello puoi passare il turno, concedendo una mossa al nemico.",2,9,2-9,Bonus,turn.waitCharges=1
38,LAW #038,PASSO LATERALE LIBERO,Turn flow,La prima mossa orizzontale della squadra non provoca risposta nemica.,3,10,3-10,Bonus,turn.firstHorizontalFree=true
39,LAW #039,PASSO LATERALE RUMOROSO,Turn flow,Ogni mossa orizzontale concede una risposta nemica aggiuntiva.,7,16,7-16,Malus,turn.extraResponseAfterHorizontal=1
40,LAW #040,SLANCIO DI CATTURA,Turn flow,"Dopo una cattura la stessa guardia può muovere immediatamente una seconda volta, una sola volta per turno.",5,19,5-19,Bonus,turn.extraMoveAfterCapture=true
41,LAW #041,CAPTURE REST,Turn flow,Dopo una cattura quella guardia deve saltare la sua prossima possibilità di selezione.,4,12,4-12,Malus,guard.cooldownAfterCapture=1
42,LAW #042,ULTIMO VELOCE,Turn flow,"Se rimane una sola guardia attiva, ottiene due mosse prima di ogni risposta nemica.",8,20,8-20,Bonus,turn.lastGuardMoves=2
43,LAW #043,SQUADRA COMPLETA,Turn flow,"Finché tutte e 4 le guardie sono vive, i nemici si muovono solo ogni 2 mosse del giocatore.",2,16,2-16,Bonus,enemy.responseIntervalWhile4Alive=2
44,LAW #044,SCOSSA DELLA PERDITA,Turn flow,La prima guardia catturata concede al nemico una mossa aggiuntiva.,6,16,6-16,Malus,enemy.extraResponseAfterFirstGuardDeath=1
45,LAW #045,FINAL SPRINT,Turn flow,"Quando la prima guardia supera il checkpoint, la successiva mossa non provoca risposta nemica.",5,15,5-15,Bonus,turn.freeMoveAfterFirstCross=1
46,LAW #046,SLOW CLOCK,Turn flow,I nemici agiscono soltanto dopo ogni 2 mosse delle guardie.,2,6,2-6,Bonus,enemy.responseInterval=2
47,LAW #047,OROLOGIO VELOCE,Turn flow,"Ogni quattro mosse delle guardie, i nemici possono muovere per due mosse consecutive.",8,20,8-20,Malus,enemy.doubleResponseEvery=4
48,LAW #048,EVEN TURNS,Turn flow,Una singola mossa nemica segue soltanto le mosse pari del giocatore.,2,9,2-9,Bonus,enemy.activeTurnParity=Even
49,LAW #049,ODD TURNS,Turn flow,Una singola mossa nemica segue soltanto le mosse dispari del giocatore.,2,9,2-9,Bonus,enemy.activeTurnParity=Odd
50,LAW #050,PAUSA REALE,Turn flow,Una volta nel livello congela per un turno tutti i nemici visibili.,10,20,10-20,Bonus,turn.freezeAllCharges=1
51,LAW #051,PRIMA GRAZIA,Guard formation & survival,Il primo colpo che eliminerebbe una guardia viene ignorato.,2,16,2-16,Bonus,team.shieldCharges=1
52,LAW #052,TWIN MERCY,Guard formation & survival,I primi due colpi subiti dalla squadra vengono ignorati.,5,12,5-12,Bonus,team.shieldCharges=2
53,LAW #053,PERSONAL MERCY,Guard formation & survival,Ogni guardia può ignorare il primo colpo subito nel livello.,9,18,9-18,Bonus,guard.personalShield=1
54,LAW #054,LAST CROWN,Guard formation & survival,L'ultima guardia rimasta ignora il primo colpo che subisce.,8,20,8-20,Bonus,guard.lastSurvivorShield=1
55,LAW #055,RESTARE UNITI,Guard formation & survival,Una guardia non può terminare oltre 3 caselle dalla guardia più vicina.,2,16,2-16,Malus,formation.maxSeparation=3
56,LAW #056,TIGHT FORMATION,Guard formation & survival,Distanza massima dalla guardia più vicina: 2 caselle.,5,12,5-12,Malus,formation.maxSeparation=2
57,LAW #057,DISPERSI,Guard formation & survival,Due guardie non possono terminare su caselle adiacenti.,3,17,3-17,Misto,formation.blockAdjacency=true
58,LAW #058,COLONNE DIVERSE,Guard formation & survival,Due guardie non possono occupare la stessa colonna.,3,17,3-17,Misto,formation.uniqueColumns=true
59,LAW #059,NO SAME RANK,Guard formation & survival,Due guardie non possono occupare la stessa riga.,4,11,4-11,Misto,formation.uniqueRows=true
60,LAW #060,AVANGUARDIA,Guard formation & survival,Ogni 3 turni deve muovere una delle guardie più avanzate.,4,18,4-18,Malus,formation.forceFrontEvery=3
61,LAW #061,REARGUARD,Guard formation & survival,Ogni 3 turni deve muovere una delle guardie più arretrate.,4,12,4-12,Malus,formation.forceRearEvery=3
62,LAW #062,EQUAL PACE,Guard formation & survival,La distanza verticale tra prima e ultima guardia non può superare 4 righe.,5,13,5-13,Misto,formation.maxVerticalSpread=4
63,LAW #063,CLOSE RANKS,Guard formation & survival,La distanza verticale tra prima e ultima guardia non può superare 3 righe.,8,16,8-16,Malus,formation.maxVerticalSpread=3
64,LAW #064,FIANCHI ESPOSTI,Guard formation & survival,Le guardie sulle caselle laterali della strada non possono catturare.,4,12,4-12,Malus,guard.captureFromRoadEdge=false
65,LAW #065,GUARDIA CENTRALE,Guard formation & survival,Una guardia casuale è marcata: deve restare entro 1 casella dalla linea centrale della strada.,5,19,5-19,Malus,formation.markedCenterRadius=1
66,LAW #066,SILENT GUARD,Guard formation & survival,Una guardia casuale non può catturare durante il livello.,3,10,3-10,Malus,guard.randomCaptureDisabled=1
67,LAW #067,GUARDIA CACCIATRICE,Guard formation & survival,Una guardia casuale deve effettuare almeno una cattura prima di poter oltrepassare il checkpoint.,6,20,6-20,Misto,guard.randomCaptureRequired=1
68,LAW #068,LEGAME DI COPPIA,Guard formation & survival,Due guardie casuali devono restare entro 2 caselle l'una dall'altra.,6,20,6-20,Malus,formation.randomPairMaxDistance=2
69,LAW #069,BROKEN PAIR,Guard formation & survival,Due guardie casuali non possono terminare adiacenti.,4,11,4-11,Misto,formation.randomPairNoAdjacency=true
70,LAW #070,PASSO DEL SUPERSTITE,Guard formation & survival,"Dopo la perdita di una guardia, la mossa successiva può essere di 2 caselle.",5,19,5-19,Bonus,team.dashAfterDeath=1
71,LAW #071,SURVIVOR'S CALM,Guard formation & survival,"Dopo la perdita di una guardia, salta la prossima risposta nemica.",6,15,6-15,Bonus,enemy.skipAfterGuardDeath=1
72,LAW #072,SCUDO A PREZZO,Guard formation & survival,"Ogni guardia ha uno scudo, ma lo perde dopo la propria prima cattura.",6,14,6-14,Misto,guard.personalShield=1;guard.captureConsumesShield=true
73,LAW #073,QUATTRO IN DIFESA,Guard formation & survival,"Finché tutte e quattro le guardie sono vive, i nemici non possono catturare con mosse diagonali.",8,18,8-18,Bonus,enemy.blockDiagonalCaptureWhile4Alive=true
74,LAW #074,ULTIMO PASSO,Guard formation & survival,"Se rimane una sola guardia attiva, può muovere di due caselle ortogonali lungo un percorso libero.",5,20,5-20,Bonus,guard.lastActiveOrthogonalRange=2
75,LAW #075,SCORTA REALE,Guard formation & survival,Una guardia marcata non può essere catturata mentre è adiacente a un'altra guardia attiva.,10,20,10-20,Bonus,formation.markedEscortAdjacentShield=true
76,LAW #076,CAVALLI IMMOBILI,Enemy movement,I Cavalli nemici restano immobili e non possono catturare.,2,16,2-16,Bonus,enemy.knight.canMove=false;enemy.knight.canCapture=false
77,LAW #077,ALFIERI IMMOBILI,Enemy movement,Gli Alfieri nemici restano immobili e non possono catturare.,2,8,2-8,Bonus,enemy.bishop.canMove=false;enemy.bishop.canCapture=false
78,LAW #078,TORRI IMMOBILI,Enemy movement,Le Torri nemiche restano immobili e non possono catturare.,2,8,2-8,Bonus,enemy.rook.canMove=false;enemy.rook.canCapture=false
79,LAW #079,PRIORITÀ AI CAVALLI,Enemy movement,"Se un Cavallo ha una mossa legale, l'avversario deve scegliere un Cavallo.",3,10,3-10,Misto,enemy.preferredActorType=Knight
80,LAW #080,SLEEPY KNIGHTS,Enemy movement,I Cavalli si muovono solo ogni 2 risposte nemiche.,2,7,2-7,Bonus,enemy.knight.moveInterval=2
81,LAW #081,SLEEPY BISHOPS,Enemy movement,Gli Alfieri si muovono solo ogni 2 risposte nemiche.,3,9,3-9,Bonus,enemy.bishop.moveInterval=2
82,LAW #082,SLEEPY ROOKS,Enemy movement,Le Torri si muovono solo ogni 2 risposte nemiche.,3,9,3-9,Bonus,enemy.rook.moveInterval=2
83,LAW #083,CAVALLI CACCIATORI,Enemy movement,I Cavalli preferiscono la mossa legale che li avvicina alla guardia più vicina.,5,19,5-19,Malus,enemy.knight.ai=ChaseNearest
84,LAW #084,CAVALLI IN FUGA,Enemy movement,I Cavalli preferiscono allontanarsi dalla guardia più vicina.,3,17,3-17,Misto,enemy.knight.ai=FleeNearest
85,LAW #085,HUNTING BISHOPS,Enemy movement,Gli Alfieri preferiscono muoversi verso la guardia più vicina.,7,15,7-15,Malus,enemy.bishop.ai=ChaseNearest
86,LAW #086,HUNTING ROOKS,Enemy movement,Le Torri preferiscono muoversi verso la guardia più vicina.,7,15,7-15,Malus,enemy.rook.ai=ChaseNearest
87,LAW #087,RANDOM KNIGHTS,Enemy movement,I Cavalli scelgono casualmente una mossa legale.,2,9,2-9,Misto,enemy.knight.ai=RandomLegal
88,LAW #088,ALFIERI IMPREVEDIBILI,Enemy movement,Gli Alfieri scelgono casualmente una mossa legale entro la loro portata.,4,18,4-18,Misto,enemy.bishop.ai=RandomLegal
89,LAW #089,RANDOM ROOKS,Enemy movement,Le Torri scelgono casualmente una mossa legale entro la loro portata.,4,11,4-11,Misto,enemy.rook.ai=RandomLegal
90,LAW #090,NEMICI IN AVANTI,Enemy movement,I pezzi nemici mobili possono scegliere solo mosse che li avvicinano al bordo inferiore dello schermo.,5,19,5-19,Malus,enemy.directionBias=Down
91,LAW #091,NEMICI IN RITIRATA,Enemy movement,I pezzi nemici mobili possono scegliere solo mosse che li allontanano dal bordo inferiore.,3,17,3-17,Bonus,enemy.directionBias=Up
92,LAW #092,LEFT DRIFT,Enemy movement,"Quando esistono più mosse equivalenti, i nemici preferiscono quella più a sinistra.",2,8,2-8,Misto,enemy.tieBreak=Left
93,LAW #093,RIGHT DRIFT,Enemy movement,"Quando esistono più mosse equivalenti, i nemici preferiscono quella più a destra.",2,8,2-8,Misto,enemy.tieBreak=Right
94,LAW #094,CAVALLO IN RITARDO,Enemy movement,I Cavalli non possono muovere o catturare nella prima risposta nemica.,2,8,2-8,Bonus,enemy.knight.openingDelay=1
95,LAW #095,TORRE IN RITARDO,Enemy movement,Le Torri non possono muovere o catturare nelle prime due risposte nemiche.,3,10,3-10,Bonus,enemy.rook.openingDelay=2
96,LAW #096,PRIORITÀ AGLI ALFIERI,Enemy movement,"Se un Alfiere ha una mossa legale, l'avversario deve scegliere un Alfiere.",7,16,7-16,Misto,enemy.preferredActorType=Bishop
97,LAW #097,SETTORE ASSEGNATO,Enemy movement,I nemici devono restare nella metà sinistra o destra della griglia in cui iniziano il livello.,5,19,5-19,Bonus,enemy.lockInitialBoardHalf=true
98,LAW #098,COLONNE VINCOLATE,Enemy movement,"Le Torri nemiche si muovono e catturano soltanto in diagonale, come gli Alfieri.",4,18,4-18,Bonus,enemy.rook.allowedAxis=Diagonal
99,LAW #099,UN SOLO TIPO MOBILE,Enemy movement,Un solo tipo nemico estratto fra quelli presenti può muovere o catturare; tutti gli altri restano immobili.,5,19,5-19,Misto,enemy.randomMobileType=1
100,LAW #100,CAMBIO DELLA GUARDIA,Enemy movement,L'avversario non può scegliere lo stesso pezzo in due risposte consecutive se un altro può muovere.,12,20,12-20,Bonus,enemy.blockRepeatActorWhenAlternative=true
101,LAW #101,SHORT ROOKS,Enemy range & attacks,Portata massima delle Torri ridotta a 2 caselle.,2,7,2-7,Bonus,enemy.rook.maxRange=2
102,LAW #102,MEDIUM ROOKS,Enemy range & attacks,Portata massima delle Torri fissata a 3 caselle.,2,9,2-9,Bonus,enemy.rook.maxRange=3
103,LAW #103,LONG ROOKS,Enemy range & attacks,Portata massima delle Torri aumentata di 1 rispetto al valore standard.,7,16,7-16,Malus,enemy.rook.maxRangeDelta=+1
104,LAW #104,SHORT BISHOPS,Enemy range & attacks,Portata massima degli Alfieri ridotta a 2 caselle.,2,7,2-7,Bonus,enemy.bishop.maxRange=2
105,LAW #105,MEDIUM BISHOPS,Enemy range & attacks,Portata massima degli Alfieri fissata a 3 caselle.,2,9,2-9,Bonus,enemy.bishop.maxRange=3
106,LAW #106,LONG BISHOPS,Enemy range & attacks,Portata massima degli Alfieri aumentata di 1.,7,16,7-16,Malus,enemy.bishop.maxRangeDelta=+1
107,LAW #107,CAVALLI ORIZZONTALI,Enemy range & attacks,I Cavalli nemici possono saltare soltanto di due colonne e una riga.,2,16,2-16,Bonus,enemy.knight.allowedJump=Wide
108,LAW #108,PATIENT ROOKS,Enemy range & attacks,Le Torri possono attaccare solo a turni alterni.,2,9,2-9,Bonus,enemy.rook.attackInterval=2
109,LAW #109,PATIENT BISHOPS,Enemy range & attacks,Gli Alfieri possono attaccare solo a turni alterni.,2,9,2-9,Bonus,enemy.bishop.attackInterval=2
110,LAW #110,PATIENT KNIGHTS,Enemy range & attacks,I Cavalli possono attaccare solo a turni alterni.,2,9,2-9,Bonus,enemy.knight.attackInterval=2
111,LAW #111,TORRI AFFAMATE,Enemy range & attacks,"Se una Torre può catturare, l'avversario deve scegliere una cattura di Torre.",6,20,6-20,Malus,enemy.priorityCaptureType=Rook
112,LAW #112,ALFIERI AFFAMATI,Enemy range & attacks,"Se un Alfiere può catturare, l'avversario deve scegliere una cattura di Alfiere.",6,14,6-14,Malus,enemy.priorityCaptureType=Bishop
113,LAW #113,CAVALLI AFFAMATI,Enemy range & attacks,"Se un Cavallo può catturare, l'avversario deve scegliere una cattura di Cavallo.",5,13,5-13,Malus,enemy.priorityCaptureType=Knight
114,LAW #114,CATTURA LONTANA,Enemy range & attacks,I nemici a lunga gittata non possono catturare a distanza di una casella.,3,17,3-17,Bonus,enemy.rangedCaptureMinDistance=2
115,LAW #115,CATTURA VICINA,Enemy range & attacks,I nemici a lunga gittata possono catturare soltanto a distanza di una casella.,9,20,9-20,Bonus,enemy.rangedCaptureMaxDistance=1
116,LAW #116,BERSAGLIO VICINO,Enemy range & attacks,"Ogni nemico attacca, se possibile, la guardia più vicina.",4,18,4-18,Misto,enemy.targetPriority=Nearest
117,LAW #117,FARTHEST TARGET,Enemy range & attacks,Ogni nemico preferisce la guardia più lontana tra quelle attaccabili.,4,12,4-12,Misto,enemy.targetPriority=Farthest
118,LAW #118,BERSAGLIO AVANZATO,Enemy range & attacks,I nemici preferiscono la guardia più avanzata.,6,20,6-20,Malus,enemy.targetPriority=Frontmost
119,LAW #119,REAR TARGET,Enemy range & attacks,I nemici preferiscono la guardia più arretrata.,5,14,5-14,Misto,enemy.targetPriority=Rearmost
120,LAW #120,EDGE TARGET,Enemy range & attacks,I nemici preferiscono guardie sulle caselle di bordo.,5,13,5-13,Malus,enemy.targetPriority=RoadEdge
121,LAW #121,CENTER TARGET,Enemy range & attacks,I nemici preferiscono guardie vicine alla linea centrale.,5,13,5-13,Malus,enemy.targetPriority=Centerline
122,LAW #122,UNA CATTURA CIASCUNO,Enemy range & attacks,Ogni pezzo nemico può effettuare al massimo un attacco riuscito nel livello.,2,16,2-16,Bonus,enemy.maxKillsPerPiece=1
123,LAW #123,PAUSA FRA CATTURE,Enemy range & attacks,"Dopo un attacco, quel nemico non può attaccare nella risposta successiva.",4,18,4-18,Bonus,enemy.attackCooldown=1
124,LAW #124,LUNGA VISTA,Enemy range & attacks,Tutti i pezzi a gittata riducono la portata di 5.,10,20,10-20,Malus,enemy.rangedRangeReduction=5
125,LAW #125,VISTA CORTA,Enemy range & attacks,"Tutti i pezzi a gittata riducono la portata di 1, minimo 1.",2,16,2-16,Bonus,enemy.rangedMaxRangeDelta=-1
126,LAW #126,KNIGHT COUNTRY,Enemy composition & spawn,Aumenta fortemente il peso di generazione dei Cavalli.,2,8,2-8,Misto,spawn.knightWeight*=2
127,LAW #127,BISHOP COUNTRY,Enemy composition & spawn,Aumenta fortemente il peso di generazione degli Alfieri.,3,10,3-10,Misto,spawn.bishopWeight*=2
128,LAW #128,ROOK COUNTRY,Enemy composition & spawn,Aumenta fortemente il peso di generazione delle Torri.,3,10,3-10,Misto,spawn.rookWeight*=2
129,LAW #129,NO KNIGHTS,Enemy composition & spawn,Nel livello non vengono generati Cavalli.,2,8,2-8,Bonus,spawn.knightWeight=0
130,LAW #130,NO BISHOPS,Enemy composition & spawn,Nel livello non vengono generati Alfieri.,2,9,2-9,Bonus,spawn.bishopWeight=0
131,LAW #131,NO ROOKS,Enemy composition & spawn,Nel livello non vengono generate Torri.,2,9,2-9,Bonus,spawn.rookWeight=0
132,LAW #132,RODEO,Enemy composition & spawn,Tutti i nemici generati sono Cavalli.,4,18,4-18,Misto,spawn.allowedTypes=Knight
133,LAW #133,ONLY BISHOPS,Enemy composition & spawn,Tutti i nemici generati sono Alfieri.,5,12,5-12,Misto,spawn.allowedTypes=Bishop
134,LAW #134,ONLY ROOKS,Enemy composition & spawn,Tutti i nemici generati sono Torri.,5,12,5-12,Misto,spawn.allowedTypes=Rook
135,LAW #135,MENO NEMICI,Enemy composition & spawn,Riduce del 25% il numero di nemici del livello.,2,16,2-16,Bonus,spawn.countMultiplier=0.75
136,LAW #136,PIÙ NEMICI,Enemy composition & spawn,Aumenta del 25% il numero di nemici del livello.,5,19,5-19,Malus,spawn.countMultiplier=1.25
137,LAW #137,CROWDED KINGDOM,Enemy composition & spawn,Aumenta del 50% il numero di nemici.,10,20,10-20,Malus,spawn.countMultiplier=1.5
138,LAW #138,PARTENZA VUOTA,Enemy composition & spawn,Nessun nemico può essere generato nelle prime 4 righe percorribili.,2,16,2-16,Bonus,spawn.safeStartRows=4
139,LAW #139,DANGEROUS OPENING,Enemy composition & spawn,I nemici possono comparire già dalla seconda riga visibile.,7,16,7-16,Malus,spawn.safeStartRows=1
140,LAW #140,SAFE CHECKPOINT,Enemy composition & spawn,Nessun nemico può essere generato nelle ultime 2 righe prima del checkpoint.,2,9,2-9,Bonus,spawn.safeCheckpointRows=2
141,LAW #141,USCITA SORVEGLIATA,Enemy composition & spawn,Almeno un nemico viene generato nelle 3 righe precedenti il checkpoint.,6,20,6-20,Malus,spawn.forceNearCheckpoint=1
142,LAW #142,NEMICI AI BORDI,Enemy composition & spawn,I nemici vengono generati preferibilmente sulle caselle di bordo della strada.,3,17,3-17,Misto,spawn.bias=RoadEdge
143,LAW #143,CENTER SPAWN,Enemy composition & spawn,I nemici vengono generati preferibilmente vicino al centro della strada.,4,11,4-11,Malus,spawn.bias=Centerline
144,LAW #144,PAIRED SPAWN,Enemy composition & spawn,I nemici vengono generati a coppie dello stesso tipo quando possibile.,6,14,6-14,Malus,spawn.pairSameType=true
145,LAW #145,MIXED PAIRS,Enemy composition & spawn,I nemici vengono generati a coppie di tipo diverso quando possibile.,6,14,6-14,Misto,spawn.pairDifferentTypes=true
146,LAW #146,PEZZI SOLITARI,Enemy composition & spawn,Nessun nemico può essere generato adiacente a un altro nemico.,2,16,2-16,Bonus,spawn.minEnemyDistance=2
147,LAW #147,GRUPPI NEMICI,Enemy composition & spawn,I nemici preferiscono comparire entro 2 caselle da un altro nemico.,8,20,8-20,Malus,spawn.clusterRadius=2
148,LAW #148,ONE OF EACH,Enemy composition & spawn,"Ogni segmento principale della strada tenta di includere Cavallo, Alfiere e Torre.",8,18,8-18,Misto,spawn.balanceTypes=true
149,LAW #149,ESERCITO CRESCENTE,Enemy composition & spawn,"Quando una guardia raggiunge per la prima volta metà altezza del percorso, compare un Pedone nemico su una casella libera valida.",7,20,7-20,Malus,spawn.addPawnAtProgress=0.5
150,LAW #150,PEDONI IN CODA,Enemy composition & spawn,I nemici collocati nella metà superiore della strada sono tutti Pedoni.,3,17,3-17,Bonus,spawn.upperHalfAllowedTypes=Pawn
151,LAW #151,STRADA LARGA,Road generation,La strada è larga 2 colonne in più del normale.,2,16,2-16,Bonus,road.widthDelta=+2
152,LAW #152,STRADA STRETTA,Road generation,"La strada è larga 2 colonne in meno del normale, con minimo sicuro.",3,17,3-17,Malus,road.widthDelta=-2
153,LAW #153,VERY WIDE ROAD,Road generation,La strada è larga 4 colonne in più.,5,13,5-13,Bonus,road.widthDelta=+4
154,LAW #154,TIGHT ROAD,Road generation,La strada è larga 3 colonne in meno.,8,18,8-18,Malus,road.widthDelta=-3
155,LAW #155,STRADA DRITTA,Road generation,Riduce quasi a zero la probabilità di curve.,2,16,2-16,Bonus,road.turnChance*=0.2
156,LAW #156,STRADA TORTUOSA,Road generation,Aumenta del 50% la probabilità di cambio direzione.,3,17,3-17,Misto,road.turnChance*=1.5
157,LAW #157,SERPENTINA,Road generation,La strada tende ad alternare curve a sinistra e destra.,6,20,6-20,Malus,road.pattern=AlternatingCurves
158,LAW #158,LONG BENDS,Road generation,Le curve durano più righe prima di cambiare direzione.,4,12,4-12,Misto,road.curvePersistence+=2
159,LAW #159,SHORT BENDS,Road generation,Le curve cambiano più spesso ma di una sola colonna.,3,10,3-10,Misto,road.curvePersistence-=1
160,LAW #160,LEFT ROAD,Road generation,La generazione tende verso la metà sinistra dell'area di gioco.,2,8,2-8,Misto,road.horizontalBias=-1
161,LAW #161,RIGHT ROAD,Road generation,La generazione tende verso la metà destra.,2,8,2-8,Misto,road.horizontalBias=+1
162,LAW #162,CENTER ROAD,Road generation,La strada tende a ritornare verso il centro.,2,8,2-8,Bonus,road.centerAttraction+=1
163,LAW #163,DUE STRETTOIE,Road generation,Genera 2 restringimenti di una riga ciascuno.,5,19,5-19,Malus,road.bottleneckCount=2
164,LAW #164,ONE BOTTLE NECK,Road generation,Genera un solo restringimento ben visibile.,2,9,2-9,Misto,road.bottleneckCount=1
